"SampleTime","Facility","Species","Adipose Clip","Count Duration (minutes)","Pumping Duration (minutes)","Sample Fraction","Study Type","Length","nfish","Expanded Salvage","Loss"
"2023-03-02 14:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",251,1,4,2.72
"2023-03-03 08:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",253,1,4,2.72
"2023-03-03 09:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",231,1,4,17.32
"2023-03-03 10:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,60,0.5,"Normal count",263,1,2,8.66
"2023-03-03 12:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",246,1,4,2.72
"2023-03-03 16:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,60,0.5,"Normal count",242,1,2,8.66
"2023-03-04 12:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",243,1,4,2.72
"2023-03-05 13:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",211,1,4,17.32
"2023-03-05 13:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",237,1,4,17.32
"2023-03-05 17:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",224,1,4,17.32
"2023-03-07 07:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",239,1,4,17.32
"2023-03-07 07:45:00","SWP","Rainbow / Steelhead Trout","Unclipped",NA,NA,NA,"Second flush",302,1,1,4.33
"2023-03-07 08:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",217,1,4,2.72
"2023-03-07 08:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",248,1,4,2.72
"2023-03-07 10:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",NA,NA,NA,"Second flush",243,1,1,4.33
"2023-03-07 17:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,60,0.5,"Normal count",215,1,2,8.66
"2023-03-07 17:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,60,0.5,"Normal count",328,1,2,8.66
"2023-03-07 20:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",210,1,4,2.72
"2023-03-07 20:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",280,1,4,2.72
"2023-03-08 19:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",216,1,4,17.32
"2023-03-09 07:30:00","SWP","Rainbow / Steelhead Trout","Unclipped",NA,NA,NA,"Second flush",220,1,1,4.33
"2023-03-09 07:30:00","SWP","Rainbow / Steelhead Trout","Unclipped",NA,NA,NA,"Second flush",224,1,1,4.33
"2023-03-09 07:30:00","SWP","Rainbow / Steelhead Trout","Unclipped",NA,NA,NA,"Second flush",240,1,1,4.33
"2023-03-09 08:30:00","SWP","Rainbow / Steelhead Trout","Unclipped",NA,NA,NA,"Second flush",214,1,1,4.33
"2023-03-09 08:30:00","SWP","Rainbow / Steelhead Trout","Unclipped",NA,NA,NA,"Second flush",278,1,1,4.33
